customer_segment,total_customer,avg_recency,avg_frequency,avg_monetary,total_monetary
Loyal / VIP Customer,141,105.72340425531915,3.5531914893617023,542.1093617021277,76437.42
High Value but Inactive,80,351.6375,3.15,482.27175,38581.74
At Risk Customer,1172,353.1902730375427,2.005972696245734,288.607704778157,338248.23
Potential Loyalist,23780,112.08204373423044,1.0520605550883095,264.35029730866273,6286250.07
Regular Customer,45258,364.95256087321576,1.0,159.86804167219054,7235307.83
New Customer,22926,112.2630637703917,1.0074587804239727,63.14387507633255,1447636.48
